basis,keep_ratio,mean,std
block_dct_8,0.05,0.0015571508066932439,0.0012543917611069204
block_dct_8,0.1,0.0006803331782430178,0.0006137391201413183
block_dct_8,0.15,0.00037196357847278704,0.0003683564659300432
block_dct_8,0.2,0.00022249017430112873,0.00023882701539637484
block_fft_8,0.05,0.002296706041379366,0.0016758435705338515
block_fft_8,0.1,0.001175338645480224,0.0009300301050984207
block_fft_8,0.15,0.0007191415840497938,0.0006097307692616854
block_fft_8,0.2,0.00047104820878303145,0.0004255450109587897
dct,0.05,0.0020374249189626424,0.0014550806545694977
dct,0.1,0.0011742736320593395,0.0008718480617964398
dct,0.15,0.0007666939829141483,0.000589485910328929
dct,0.2,0.0005274377046589507,0.0004187005400508359
entangled_qft,0.05,0.00197959411255036,0.001463021519282398
entangled_qft,0.1,0.0010687862354209594,0.0008501160115156319
entangled_qft,0.15,0.0006574146983176923,0.0005538512144214982
entangled_qft,0.2,0.0004265309443133613,0.0003781642199358584
fft,0.05,0.0024401436871266924,0.0017324759343047712
fft,0.1,0.001488880125907599,0.001097732845662215
fft,0.15,0.0010229550562507938,0.0007791290327223191
fft,0.2,0.0007382952965417644,0.0005800640856247112
